Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
India,2022-07-30,2268.122
India,2022-07-31,2242.084
India,2022-08-01,2156.0928
India,2022-08-02,2107.8337
India,2022-08-03,2111.8196
India,2022-08-04,2000.8257
India,2022-08-05,1987.7405
India,2022-08-06,1974.227
India,2022-08-07,2013.1537
India,2022-08-08,2241.0256
India,2022-08-09,2268.8215
India,2022-08-10,2107.8772
India,2022-08-11,2039.0317
India,2022-08-12,1862.7545
India,2022-08-13,1793.4395
India,2022-08-14,1749.0708
India,2022-08-15,1650.3508
India,2022-08-16,1437.4053
India,2022-08-17,1559.0266
India,2022-08-18,1685.2986
India,2022-08-19,1794.2866
India,2022-08-20,1680.7697
India,2022-08-21,1711.2374
India,2022-08-22,1808.2754
India,2022-08-23,2017.4965
India,2022-08-24,1998.4795
India,2022-08-25,1870.3745
India,2022-08-26,1893.965
India,2022-08-27,2005.9471
India,2022-08-28,1967.4604
India,2022-08-29,1885.4469
India,2022-08-30,1851.2164
India,2022-08-31,1798.9032
India,2022-09-01,1692.7155
India,2022-09-02,1608.2839
India,2022-09-03,1604.569
India,2022-09-04,1567.2847
India,2022-09-05,1611.7056
India,2022-09-06,1549.5969
India,2022-09-07,1550.707
India,2022-09-08,1765.6057
India,2022-09-09,1805.3358
India,2022-09-10,1764.9899
India,2022-09-11,1750.2515
India,2022-09-12,1737.02
India,2022-09-13,1754.7593
India,2022-09-14,1752.985
India,2022-09-15,1692.626
India,2022-09-16,1618.4186
India,2022-09-17,1635.7808
India,2022-09-18,1589.5277
India,2022-09-19,1430.2059
India,2022-09-20,1346.5322
India,2022-09-21,1263.0212
India,2022-09-22,1124.1456
India,2022-09-23,1075.3429
India,2022-09-24,996.6606
India,2022-09-25,999.6846
India,2022-09-26,983.2638
India,2022-09-27,995.7419
India,2022-09-28,1021.46844
India,2022-09-29,1092.6604
India,2022-09-30,1267.1997
India,2022-10-01,1264.1515
India,2022-10-02,1161.6898
India,2022-10-03,1075.7728
India,2022-10-04,965.69196
India,2022-10-05,840.57935
India,2022-10-06,622.3041
India,2022-10-07,341.35495
India,2022-10-08,242.5444
India,2022-10-09,224.6615
India,2022-10-10,228.12422
India,2022-10-11,244.9958
India,2022-10-12,301.22653
India,2022-10-13,332.3538
India,2022-10-14,333.31564
India,2022-10-15,341.20703
India,2022-10-16,343.63998
India,2022-10-17,336.869
India,2022-10-18,328.6147
India,2022-10-19,285.0216
India,2022-10-20,291.45425
India,2022-10-21,292.84476
India,2022-10-22,262.51962
India,2022-10-23,236.61453
India,2022-10-24,225.58884
India,2022-10-25,185.52866
India,2022-10-26,157.52304
India,2022-10-27,121.324066
India,2022-10-28,93.310936
India,2022-10-29,81.779724
India,2022-10-30,75.723274
India,2022-10-31,79.16972
India,2022-11-01,83.360405
India,2022-11-02,85.7638
India,2022-11-03,89.99032
India,2022-11-04,92.890305
India,2022-11-05,92.55437
India,2022-11-06,92.858635
India,2022-11-07,88.80856
India,2022-11-08,95.44524
India,2022-11-09,90.51588
India,2022-11-10,86.682526
India,2022-11-11,81.47345
India,2022-11-12,75.981544
India,2022-11-13,71.80564
India,2022-11-14,71.26775
India,2022-11-15,68.99054
India,2022-11-16,71.48844
India,2022-11-17,70.0162
India,2022-11-18,66.51358
India,2022-11-19,64.1639
India,2022-11-20,62.65217
India,2022-11-21,61.40392
India,2022-11-22,57.42916
India,2022-11-23,54.86611
India,2022-11-24,51.723785
India,2022-11-25,49.272182
India,2022-11-26,47.658226
India,2022-11-27,45.569923
India,2022-11-28,45.30123
India,2022-11-29,46.994366
India,2022-11-30,41.917477
India,2022-12-01,39.543243
India,2022-12-02,36.980396
India,2022-12-03,35.04092
India,2022-12-04,34.65457
India,2022-12-05,34.42286
India,2022-12-06,29.405502
India,2022-12-07,30.870932
India,2022-12-08,29.138414
India,2022-12-09,28.888062
India,2022-12-10,28.517044
India,2022-12-11,27.933058
India,2022-12-12,28.063145
India,2022-12-13,28.752764
India,2022-12-14,30.448301
India,2022-12-15,31.583502
India,2022-12-16,32.3089
India,2022-12-17,32.19425
India,2022-12-18,32.842876
India,2022-12-19,32.695953
India,2022-12-20,32.536102
India,2022-12-21,32.196552
India,2022-12-22,33.81873
India,2022-12-23,37.365944
India,2022-12-24,43.123936
India,2022-12-25,48.559814
India,2022-12-26,51.410896
India,2022-12-27,56.147736
India,2022-12-28,59.772324
India,2022-12-29,61.992916
India,2022-12-30,61.13212
India,2022-12-31,59.288757
India,2023-01-01,55.05643
India,2023-01-02,52.193924
India,2023-01-03,47.384926
India,2023-01-04,43.209423
India,2023-01-05,39.571003
India,2023-01-06,35.904926
India,2023-01-07,32.905113
India,2023-01-08,32.624695
India,2023-01-09,33.044422
India,2023-01-10,33.9869
India,2023-01-11,34.258297
India,2023-01-12,34.310814
India,2023-01-13,34.471565
India,2023-01-14,33.788563
India,2023-01-15,30.580091
India,2023-01-16,29.841965
India,2023-01-17,29.949402
India,2023-01-18,34.838474
India,2023-01-19,48.22558
India,2023-01-20,61.134624
India,2023-01-21,78.413506
India,2023-01-22,111.241646
India,2023-01-23,115.750786
India,2023-01-24,132.2283
India,2023-01-25,143.90694
India,2023-01-26,151.6041
India,2023-01-27,138.29808
India,2023-01-28,137.35219
India,2023-01-29,128.39134
India,2023-01-30,175.95956
India,2023-01-31,181.17397
India,2023-02-01,183.0493
India,2023-02-02,173.05127
India,2023-02-03,184.69974
India,2023-02-04,179.32037
India,2023-02-05,166.93408
India,2023-02-06,119.21953
India,2023-02-07,105.3666
India,2023-02-08,94.35213
India,2023-02-09,89.104065
India,2023-02-10,80.34917
India,2023-02-11,66.70089
India,2023-02-12,53.864506
India,2023-02-13,49.02674
India,2023-02-14,35.892
India,2023-02-15,24.021938
India,2023-02-16,12.922578
India,2023-02-17,6.2418556
India,2023-02-18,4.553234
India,2023-02-19,4.2286186
India,2023-02-20,4.1876283
India,2023-02-21,4.2406454
India,2023-02-22,4.1726956
India,2023-02-23,4.150146
India,2023-02-24,4.1263933
India,2023-02-25,4.0138454
India,2023-02-26,4.182718
India,2023-02-27,4.1864257
India,2023-02-28,4.090414
India,2023-03-01,4.075782
India,2023-03-02,4.0677643
India,2023-03-03,4.044513
India,2023-03-04,4.0605483
India,2023-03-05,4.1679854
India,2023-03-06,4.14293
India,2023-03-07,4.041005
India,2023-03-08,3.6764019
India,2023-03-09,3.2164884
India,2023-03-10,3.2737145
India,2023-03-11,3.3081903
India,2023-03-12,3.2362318
India,2023-03-13,3.2713091
India,2023-03-14,3.5192556
India,2023-03-15,4.0589447
India,2023-03-16,4.7150908
India,2023-03-17,4.7925615
India,2023-03-18,4.8178673
India,2023-03-19,5.046321
India,2023-03-20,5.040909
India,2023-03-21,5.0565434
India,2023-03-22,4.9853864
India,2023-03-23,4.7720165
India,2023-03-24,4.620783
India,2023-03-25,4.8543477
India,2023-03-26,4.789655
India,2023-03-27,4.8519926
India,2023-03-28,5.256083
India,2023-03-29,5.7201056
India,2023-03-30,6.405817
India,2023-03-31,6.459435
India,2023-04-01,6.365027
India,2023-04-02,5.914434
India,2023-04-03,5.746464
India,2023-04-04,4.7567825
India,2023-04-05,3.7442515
India,2023-04-06,2.5399976
India,2023-04-07,2.0421002
India,2023-04-08,1.3191069
India,2023-04-09,1.1284368
India,2023-04-10,1.0769734
India,2023-04-11,0.9200275
India,2023-04-12,0.7575695
India,2023-04-13,0.5951115
India,2023-04-14,0.39617306
India,2023-04-15,0.29444888
India,2023-04-16,0.32005534
India,2023-04-17,0.30567363
India,2023-04-18,0.3415527
India,2023-04-19,0.34846795
India,2023-04-20,0.38324457
India,2023-04-21,0.76749134
India,2023-04-22,1.2343202
India,2023-04-23,1.3257215
India,2023-04-24,1.378538
India,2023-04-25,1.841358
India,2023-04-26,2.2878418
India,2023-04-27,2.6998498
India,2023-04-28,2.71809
India,2023-04-29,2.5800858
India,2023-04-30,2.676298
India,2023-05-01,2.624584
India,2023-05-02,2.347373
India,2023-05-03,2.0847943
India,2023-05-04,1.8445649
India,2023-05-05,1.5702604
